gene_id	N1_C.HQ.bam	N1_H.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_H.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_H.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_H.HQ.bam	R8_T.HQ.bam
AAGAB:chr15:67200667:67202820:u1	0.464285714285714	0.217391304347826	0.287128712871287	0.115384615384615	0.25503355704698	0.145161290322581	0.148148148148148	0.317460317460317	0.292397660818713	0.4	0.319444444444444	0.252525252525253
AAK1:chr2:69457997:69475868:u1	0.66	0.556521739130435	0.3	0.676923076923077	0.528	0.5	0.635	0.307692307692308	0.425185185185185	0.56875	0.554166666666667	0.359514170040486
AARS2:chr6:44298731:44300546:u1	0.7	0.785714285714286	0.88	1	0.928571428571429	1	0.9	0.714285714285714	0.791666666666667	0.916666666666667	0.875	0.869565217391304
AASS:chr7:122073550:122076488:u1	0.75	0.527272727272727	0.633333333333333	0.6	0.32	0.484210526315789	0.6	0.375	0.627272727272727	0.666666666666667	0.630434782608696	0.333333333333333
ABCA10:chr17:69148007:69148826:u1	0.8	0.692307692307692	1	1	1	0.833333333333333	0.727272727272727	0.923076923076923	0.9375	0.555555555555556	0.866666666666667	1
ABCA1:chr9:104781006:104784314:u1	1	0.868852459016393	1	0.666666666666667	0.777777777777778	1	1	0	1	1	1	0.8
ABCA5:chr17:69244311:69247536:u1	0.250574712643678	0.251207729468599	0.368421052631579	0.333333333333333	0.284403669724771	0.357142857142857	0.407158836689038	0.269333333333333	0.372146118721461	0.340823970037453	0.229166666666667	0.394977168949772
ABCA6:chr17:69078702:69078972:u1	0.25	0.871794871794872	1	0.25	0.84375	0.666666666666667	1	0.555555555555556	0.666666666666667	1	0.727272727272727	NA
ABCA9:chr17:68974488:68975914:u1	0.185185185185185	0.537037037037037	0.458333333333333	0.555555555555556	0.5	0.541666666666667	0.538461538461538	0.470588235294118	0.483870967741935	0.333333333333333	0.377777777777778	0.434782608695652
ABCB10:chr1:229516582:229518178:u1	0.895833333333333	0.827586206896552	0.882352941176471	0.857142857142857	0.96	0.764705882352941	0.928571428571429	0.888888888888889	0.828571428571429	0.789473684210526	0.904761904761905	0.80952380952381
ABCB1:chr7:87503017:87504242:u1	0.96551724137931	0.825136612021858	0.956521739130435	1	0.868421052631579	0.919117647058823	0.758620689655172	0.88695652173913	0.865384615384615	0.857142857142857	0.82943143812709	0.892307692307692
ABCB7:chrX:75051049:75053369:u1	0.0625	0.32520325203252	0.361904761904762	0.282051282051282	0.303030303030303	0.177777777777778	0.382716049382716	0.277777777777778	0.451851851851852	0.343434343434343	0.366013071895425	0.35
ABCC12:chr16:48082973:48083714:u1	NA	0	0.117647058823529	NA	0.2	0.130434782608696	NA	0	0.188405797101449	NA	NA	0.266666666666667
ABCC9:chr12:21797390:21801043:u1	0.333333333333333	0.576666666666667	0.375	0.875	0.591954022988506	0.479591836734694	NA	0.35	0.4875	0.75	0.653846153846154	0.6
ABCD2:chr12:39550033:39553911:u1	0.305555555555556	0.341463414634146	0.357142857142857	0.5	0.274193548387097	0.352272727272727	0.470108695652174	0.381578947368421	0.398989898989899	0.573529411764706	0.48469387755102	0.455882352941176
ABCD3:chr1:94517130:94518663:u2	0.703703703703704	0.607843137254902	0.238095238095238	0.411764705882353	0.558139534883721	0.63265306122449	0.62962962962963	0.882352941176471	0.458333333333333	0.352941176470588	0.543478260869565	0.380952380952381
ABCE1:chr4:145127574:145129524:u1	0.574074074074074	0.622641509433962	0.537777777777778	0.637130801687764	0.60126582278481	0.587878787878788	0.649122807017544	0.542483660130719	0.694244604316547	0.640860215053763	0.663461538461538	0.689800210304942
ABCF1:chr6:30590702:30591522:u1	0.14	0.218390804597701	0.154761904761905	0.119047619047619	0.206896551724138	0.131147540983607	0.138888888888889	0.183673469387755	0.0833333333333333	0.111111111111111	0.148148148148148	0.10655737704918
ABCF2:chr7:151211484:151214053:u1	0.147321428571429	0.185589519650655	0.155672823218997	0.242424242424242	0.25098814229249	0.222222222222222	0.245535714285714	0.123626373626374	0.306167400881057	0.309734513274336	0.331058020477816	0.253869969040248
ABCG2:chr4:88090264:88092355:u1	0.309322033898305	0.388235294117647	0.408536585365854	0.368421052631579	0.427215189873418	0.461805555555556	0.4375	0.390151515151515	0.539473684210526	0.125	0.3125	0.5
ABHD10:chr3:111991377:111993368:u2	0.888888888888889	0.888888888888889	0.75	0.6	0.833333333333333	0.5	1	0.9	0.875	0.869565217391304	0.8	0.939393939393939
ABHD11:chr7:73736095:73737513:u1	0.833333333333333	0.9	0.897959183673469	1	0.742857142857143	0.916666666666667	1	0.875	0.9375	1	0.857142857142857	0.666666666666667
ABHD13:chr13:108230233:108234243:u1	0.58974358974359	0.74375	0.361111111111111	0.65625	0.396739130434783	0.576086956521739	0.818	0.410714285714286	0.7671875	0.770089285714286	0.735887096774194	0.698076923076923
ABHD15:chr17:29560547:29562560:u1	NA	0.6	0.166666666666667	1	0.222222222222222	0.333333333333333	1	1	0.666666666666667	NA	0.5	NA
ABHD17B:chr9:71865152:71866786:u1	0.9	0.875	0.742647058823529	0.851851851851852	0.83	0.847826086956522	0.785714285714286	0.75	0.809090909090909	0.838709677419355	0.779475982532751	0.837837837837838
ABHD2:chr15:89195424:89202355:u1	0.8	0.758928571428571	0.375	0.944444444444444	0.629032258064516	0.755813953488372	0.879746835443038	0	0.736111111111111	0.901960784313725	0.763157894736842	0.676
ABHD5:chr3:43718507:43722725:u1	0.3375	0.310185185185185	0.234375	0.303030303030303	0.1796875	0.3125	0.524193548387097	0.173611111111111	0.410714285714286	0.363207547169811	0.300595238095238	0.467741935483871
ABI1:chr10:26746596:26748569:u1	0.572704081632653	0.55046403712297	0.476833976833977	0.559644670050761	0.545286506469501	0.540625	0.629533678756477	0.486764705882353	0.622368421052632	0.629787234042553	0.6265664160401	0.620115774240231
ABI2:chr2:203427291:203432169:u1	0.5	0.345454545454545	0.1	0.4	0.303571428571429	0.340425531914894	0.458333333333333	0.294117647058824	0.392307692307692	0.317460317460317	0.197802197802198	0.293706293706294
ABL2:chr1:179099331:179107717:u2	1	0.2	1	1	1	0	0.75	1	0.5	1	0.125	0.25
ABLIM1:chr10:114431110:114436259:u1	0.641129032258065	0.58974358974359	0.6125	0.572755417956656	0.572052401746725	0.622950819672131	0.950990615224192	0.818181818181818	0.932038834951456	0.742857142857143	0.707964601769911	0.739884393063584
ABLIM2:chr4:7965327:7966989:u2	1	0.904761904761905	0.932584269662921	0.941176470588235	0.91304347826087	0.901639344262295	0.928571428571429	0.930232558139535	0.943262411347518	0.888888888888889	0.923076923076923	0.940860215053763
ABLIM3:chr5:149258405:149260438:u1	0.956204379562044	0.985815602836879	0.901639344262295	0.947368421052632	0.887892376681614	0.976190476190476	0.965909090909091	0.8984375	0.948051948051948	0.927444794952681	0.925373134328358	0.992957746478873
ABRAXAS1:chr4:83459517:83462468:u1	NA	0.428571428571429	1	0	0.25	0.5	NA	NA	0.5	NA	0	0.5
ABRAXAS2:chr10:124834972:124836667:u1	0.91304347826087	0.942307692307692	0.76	0.958333333333333	0.94	0.938461538461538	1	0.909090909090909	0.94017094017094	0.916666666666667	0.954545454545455	0.961832061068702
ABT1:chr6:26598646:26600739:u1	0.291666666666667	0.34375	0.181818181818182	0.5	0.379310344827586	0.5	0.571428571428571	0.203125	0.472222222222222	0.333333333333333	0.535714285714286	0.75
ACAA2:chr18:49782164:49783846:u1	0.0588235294117647	0.0894308943089431	0.0746268656716418	0.173913043478261	0.0730593607305936	0.123287671232877	0.0833333333333333	0.0191082802547771	0.170731707317073	0.0909090909090909	0.148648648648649	0.0952380952380952
