gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
ANKRD36C	3.25285214295883e-20	chr2:95857435:-,chr2:95921630:-,chr2:95923518:-,chr2:95929095:-,chr2:95958613:-,chr2:95978153:-	0,0,12,0,0,0	10,20,0,10,37,12	0,0,0.324,0,0,0	0.063,0.126,0,0.063,0.233,0.075	0.1944	0.2356	-0.0412	proximal	4.88578391872416e-17	FALSE
IDI1	3.31566144999402e-19	chr10:1040044:-,chr10:1041344:-,chr10:1041976:-,chr10:1045634:-	17,11,10,0	216,19,0,14	0.436,0.282,0.256,0	0.788,0.069,0,0.051	0.709333333333333	0.834	-0.124666666666667	proximal	2.49006174894551e-16	TRUE
FARSB	1.58786720092641e-15	chr2:222570224:-,chr2:222571313:-,chr2:222571745:-	0,12,1	10,0,52	0,0.75,0.062	0.141,0,0.732	0.375	0.141	0.234	distal	7.94992178597158e-13	TRUE
TTC3	9.09613103902416e-15	chr21:37077393:+,chr21:37095368:+,chr21:37129034:+,chr21:37150845:+,chr21:37153179:+,chr21:37160839:+,chr21:37165784:+,chr21:37182916:+,chr21:37187097:+,chr21:37197695:+	16,7,10,10,8,12,14,8,13,16	2,35,90,4,32,72,54,21,14,33	0.124,0.054,0.078,0.078,0.062,0.093,0.109,0.062,0.101,0.124	0.005,0.084,0.216,0.01,0.077,0.173,0.129,0.05,0.034,0.079	0.463222222222222	0.425111111111111	0.0381111111111112	distal	3.41559720515357e-12	FALSE
AP4B1	1.291412729782e-14	chr1:113894200:-,chr1:113895063:-,chr1:113895147:-,chr1:113902044:-,chr1:113903233:-	0,0,15,0,0	16,12,3,29,14	0,0,1,0,0	0.188,0.141,0.035,0.341,0.165	0.5	0.3965	0.1035	distal	3.87940384026512e-12	TRUE
KIDINS220	9.88528874233239e-14	chr2:8730714:-,chr2:8731732:-,chr2:8770671:-,chr2:8785765:-,chr2:8803035:-	20,0,0,1,4	10,13,19,18,63	0.741,0,0,0.037,0.148	0.06,0.077,0.113,0.107,0.375	0.75025	0.201	0.54925	distal	2.47461728183054e-11	TRUE
H3-3B	6.75497185874572e-13	chr17:75776434:-,chr17:75777459:-,chr17:75778023:-,chr17:75778250:-	30,126,135,34	89,354,124,100	0.09,0.38,0.407,0.102	0.128,0.508,0.178,0.143	0.479	0.526	-0.047	proximal	1.44942396169087e-10	FALSE
HSP90AA1	8.12335931837645e-13	chr14:102081050:-,chr14:102083061:-,chr14:102084473:-,chr14:102084781:-,chr14:102084841:-,chr14:102084921:-	13,40,10,10,58,69	205,115,143,80,135,316	0.063,0.193,0.048,0.048,0.28,0.333	0.198,0.111,0.138,0.077,0.13,0.305	0.3214	0.4264	-0.105	proximal	1.52516071202518e-10	TRUE
METAP2	3.801367952219e-12	chr12:95483260:+,chr12:95494095:+,chr12:95494993:+,chr12:95514343:+,chr12:95515839:+	1,0,10,0,17	10,10,9,28,0	0.03,0,0.303,0,0.515	0.159,0.159,0.143,0.444,0	0.6665	0.44425	0.22225	distal	6.34406073803659e-10	TRUE
YWHAB	8.25457158626261e-12	chr20:44905027:+,chr20:44908131:+,chr20:44908400:+,chr20:44908520:+	1,17,0,17	14,0,28,36	0.029,0.486,0,0.486	0.147,0,0.295,0.379	0.648	0.575666666666667	0.0723333333333334	distal	1.23983665225664e-09	FALSE
ZFR	1.13849870614003e-11	chr5:32354615:-,chr5:32395232:-,chr5:32397219:-,chr5:32406855:-	11,5,1,1	0,37,26,14	0.478,0.217,0.043,0.043	0,0.381,0.268,0.144	0.637	0.343333333333333	0.293666666666667	distal	1.55456823329302e-09	TRUE
AMER2	3.20048653685269e-11	chr13:25161684:-,chr13:25169091:-	13,3	0,48	0.619,0.143	0,0.842	0.619	0	0.619	distal	4.00594231529395e-09	TRUE
YWHAQ	4.64783261229738e-11	chr2:9583977:-,chr2:9584267:-,chr2:9584630:-,chr2:9584936:-	127,52,52,8	560,263,62,52	0.512,0.21,0.21,0.032	0.579,0.272,0.064,0.054	0.722	0.781666666666667	-0.0596666666666666	proximal	5.37003429513128e-09	FALSE
NSD1	7.00985500083412e-11	chr5:177204277:+,chr5:177210789:+,chr5:177211564:+,chr5:177211944:+,chr5:177235920:+,chr5:177291979:+	1,1,12,10,12,0	15,12,0,0,5,10	0.026,0.026,0.308,0.256,0.308,0	0.268,0.214,0,0,0.089,0.179	0.5284	0.293	0.2354	distal	6.68674933417762e-09	TRUE
ELAVL2	7.08528405528818e-11	chr9:23690853:-,chr9:23691569:-,chr9:23691880:-	1,1,68	13,21,26	0.013,0.013,0.895	0.186,0.3,0.371	0.0195	0.336	-0.3165	proximal	6.68674933417762e-09	TRUE
MSMO1	7.12303524279906e-11	chr4:165341449:+,chr4:165341915:+,chr4:165342063:+,chr4:165343070:+,chr4:165343164:+	15,1,7,4,8	18,77,35,68,94	0.429,0.029,0.2,0.114,0.229	0.059,0.252,0.115,0.223,0.308	0.42175	0.59575	-0.174	proximal	6.68674933417762e-09	TRUE
NARF	2.00581582969955e-10	chr17:82463185:+,chr17:82488259:+	14,16	0,84	0.424,0.485	0,0.816	0.485	0.816	-0.331	proximal	1.77219728012278e-08	TRUE
RTN4	3.23151378513563e-10	chr2:54972189:-,chr2:54981278:-,chr2:55026078:-,chr2:55026370:-,chr2:55026600:-,chr2:55027115:-	26,19,5,10,60,28	64,3,38,11,133,120	0.169,0.123,0.032,0.065,0.39,0.182	0.15,0.007,0.089,0.026,0.311,0.28	0.3906	0.2816	0.109	distal	2.63268453629046e-08	TRUE
NSD3	3.33029335482815e-10	chr8:38316798:-,chr8:38326841:-,chr8:38331485:-,chr8:38338548:-,chr8:38347703:-	0,12,0,0,3	10,2,11,20,20	0,0.571,0,0,0.143	0.116,0.023,0.128,0.233,0.233	0.42825	0.2555	0.17275	distal	2.63268453629046e-08	TRUE
ACIN1	4.48825393201094e-10	chr14:23058564:-,chr14:23061315:-,chr14:23080360:-	10,13,41	44,79,28	0.145,0.188,0.594	0.27,0.485,0.172	0.239	0.5125	-0.2735	proximal	3.3132825502775e-08	TRUE
MCUR1	4.63241901170623e-10	chr6:13786740:-,chr6:13787016:-,chr6:13790788:-,chr6:13798839:-	0,10,3,3	13,0,35,15	0,0.5,0.15,0.15	0.167,0,0.449,0.192	0.383333333333333	0.316666666666667	0.0666666666666667	distal	3.3132825502775e-08	FALSE
