SE_id	p_value	dominant1_pas_id	dominant1_contrib_value	dominant2_pas_id	dominant2_contrib_value	annotation	FDR	exon	pas_id	sig	gene_id
ASPH:SE22	4.72600398628037e-289	chr8:61624535:-	490.506292824664	chr8:61675259:-	181.915029974001	ALE	4.78696943770338e-285	chr8:61682439-61682483:-	chr8:61624535:-;chr8:61675259:-	TRUE	ASPH
CYHR1:SE01	1.79658073089457e-238	chr8:144451125:-	470.082747853239	chr8:144449931:-	128.835258878905	ALE	9.09878311161553e-235	chr8:144452359-144452570:-	chr8:144449931:-;chr8:144451125:-	TRUE	CYHR1
TPM2:SE02	4.46836771442515e-125	chr9:35682926:-	538.66147632595	chr9:35682008:-	0.936865476066354	ALE	1.50866988598041e-121	chr9:35685064-35685139:-	chr9:35682008:-;chr9:35682926:-	TRUE	TPM2
TPM3:SE03	2.660773175675e-105	chr1:154156364:-	145.915587947144	chr1:154158612:-	43.1360109989862	TUTR	6.73774287410301e-102	chr1:154171413-154171488:-	chr1:154156364:-;chr1:154158612:-	TRUE	TPM3
PSPC1:SE02	5.58281746074634e-99	chr13:19674752:-	94.9916154604342	chr13:19702867:-	75.3925328635317	ALE	9.42472634331662e-96	chr13:19705662-19705831:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
PSPC1:SE03	5.58281746074634e-99	chr13:19674752:-	94.9916154604342	chr13:19702867:-	75.3925328635317	ALE	9.42472634331662e-96	chr13:19709542-19709599:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
SLC5A11:SE05	4.62719144043473e-98	chr16:24876225:+	222.607882508271	chr16:24911626:+	37.068266779306	ALE	6.69554601430906e-95	chr16:24875627-24875731:+	chr16:24876225:+;chr16:24911626:+	TRUE	SLC5A11
TPM3:SE04	1.03466567972658e-95	chr1:154156364:-	133.263000560755	chr1:154158612:-	37.5189576298002	TUTR	1.31001608374382e-92	chr1:154172029-154172104:-	chr1:154156364:-;chr1:154158612:-	TRUE	TPM3
TMEM161B-AS1:SE02	4.51645328013804e-78	chr5:88436669:+	102.275918088482	chr5:88287650:+	74.2394971012532	ALE	5.08301725272424e-75	chr5:88282042-88282106:+	chr5:88287650:+;chr5:88436669:+	TRUE	TMEM161B-AS1
KLHL7:SE03	2.1024428466834e-76	chr7:23144500:+	296.335445906433	chr7:23175421:+	1.21235494247487	ALE	2.12956435940562e-73	chr7:23143851-23144025:+	chr7:23144500:+;chr7:23175304:+;chr7:23175421:+	TRUE	KLHL7
FGFR2:SE11	1.2137274932928e-67	chr10:121478332:-	82.5387340901273	chr10:121479218:-	54.5119308688388	TUTR	1.11762234359661e-64	chr10:121565438-121565704:-	chr10:121478332:-;chr10:121479218:-;chr10:121564324:-	TRUE	FGFR2
RNASEH2B:SE03	1.04919887883678e-66	chr13:50970457:+	252.164573268921	chr13:50956503:+	1.87840757668486	ALE	8.85611286978146e-64	chr13:50953905-50953985:+	chr13:50956503:+;chr13:50956760:+;chr13:50970457:+	TRUE	RNASEH2B
HPS1:SE14	2.87724999062968e-58	chr10:98441904:-	230.885939210317	chr10:98417015:-	0.881585560331834	ALE	2.24182039654524e-55	chr10:98443124-98443240:-	chr10:98416212:-;chr10:98417015:-;chr10:98429144:-;chr10:98441904:-	TRUE	HPS1
HSPA14:SE03	7.52217190841312e-54	chr10:14844734:+	85.5967230967231	chr10:14846999:+	41.857077995009	TUTR	5.4422913757369e-51	chr10:14842134-14842846:+	chr10:14844734:+;chr10:14846999:+;chr10:14871741:+	TRUE	HSPA14
REEP1:SE04	4.43441510398727e-52	chr2:86251351:-	226.681491712707	chr2:86214102:-	0.216520102525388	ALE	2.9944127058858e-49	chr2:86251957-86252070:-	chr2:86214102:-;chr2:86214597:-;chr2:86216485:-;chr2:86251351:-	TRUE	REEP1
TPM2:SE01	7.57739211935237e-51	chr9:35682926:-	210.366392749017	chr9:35682008:-	0.610837085312521	ALE	4.79696279855751e-48	chr9:35684732-35684807:-	chr9:35682008:-;chr9:35682926:-	TRUE	TPM2
PCMTD1:SE04	2.77523296063883e-43	chr8:51842849:-	135.840188014101	chr8:51817583:-	4.59069316108102	ALE	1.65354909754769e-40	chr8:51845661-51845763:-	chr8:51817583:-;chr8:51820167:-;chr8:51842849:-	TRUE	PCMTD1
TPM1:SE05	2.0213484755321e-41	chr15:63071915:+	48.3035897435897	chr15:63070637:+	22.9170731707317	TUTR	1.13745770603693e-38	chr15:63061713-63061788:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+	TRUE	TPM1
GPM6B:SE03	7.29562490023304e-41	chrX:13770943:-	59.2335395589381	chrX:13771029:-	28.5962069183447	TUTR	3.88933603234003e-38	chrX:13807650-13807769:-	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-	TRUE	GPM6B
CACFD1:SE01	1.09107472247863e-38	chr9:133470763:+	39.693000653597	chr9:133466593:+	26.2401957968983	ALE	5.525747931993e-36	chr9:133465035-133465158:+	chr9:133466685:+;chr9:133470763:+	TRUE	CACFD1
CADM3:SE02	3.51843284957726e-38	chr1:159203143:+	157.923877327492	chr1:159202012:+	0.274410616527936	TUTR	1.6970574444461e-35	chr1:159199751-159199876:+	chr1:159201267:+;chr1:159202012:+;chr1:159203143:+	TRUE	CADM3
