SE_id	p_value	dominant1_pas_id	dominant1_contrib_value	dominant2_pas_id	dominant2_contrib_value	annotation	FDR	exon	pas_id	sig	gene_id
GSTA4:SE01	0	chr6:52982551:-	1721.53759538875	chr6:52977955:-	21.5426053150418	ALE	0	chr6:52985451-52985583:-	chr6:52977955:-;chr6:52982551:-	TRUE	GSTA4
MLLT3:SE06	0	chr9:20414126:-	3242.54611659705	chr9:20345627:-	15.2835176817479	ALE	0	chr9:20413721-20414425:-	chr9:20345059:-;chr9:20345285:-;chr9:20345627:-;chr9:20414126:-	TRUE	MLLT3
PSPC1:SE02	0	chr13:19674752:-	512.966579360231	chr13:19702867:-	272.378229654669	ALE	0	chr13:19705662-19705831:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
PSPC1:SE03	0	chr13:19674752:-	514.617983367983	chr13:19702867:-	271.394230769231	ALE	0	chr13:19709542-19709599:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
RBM5:SE01	0	chr3:50102194:+	2275.92748552503	chr3:50118960:+	799.558076618959	ALE	0	chr3:50100532-50100605:+	chr3:50102194:+;chr3:50118960:+	TRUE	RBM5
RTN4:SE03	0	chr2:54972189:-	979.900620520884	chr2:55026600:-	62.7119593247585	ALE	0	chr2:55025086-55027485:-	chr2:54972189:-;chr2:55026600:-	TRUE	RTN4
RTN4:SE04	0	chr2:54972189:-	984.001419541118	chr2:55026600:-	120.092343832341	ALE	0	chr2:55028164-55028220:-	chr2:54972189:-;chr2:55026600:-	TRUE	RTN4
ELMOD1:SE02	8.28696307769523e-320	chr11:107620897:+	1189.73010586021	chr11:107665989:+	15.0453147305655	ALE	2.07329455647341e-316	chr11:107618105-107618206:+	chr11:107620897:+;chr11:107665989:+	TRUE	ELMOD1
RNF40:SE05	2.07022354323199e-315	chr16:30767299:+	1258.60176072653	chr16:30775189:+	6.10147659190219	ALE	4.60394713530762e-312	chr16:30766379-30766558:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
NIPBL:SE07	8.23603251256994e-301	chr5:37000855:+	278.501388198437	chr5:36986106:+	223.085681465078	ALE	1.64844190739087e-297	chr5:36984676-36986301:+	chr5:36985201:+;chr5:36986106:+;chr5:37000855:+	TRUE	NIPBL
BAZ1B:SE09	1.00776735118388e-294	chr7:73440406:-	1375.6918191193	chr7:73477038:-	0.259205567082102	ALE	1.83367850308593e-291	chr7:73476868-73478569:-	chr7:73440406:-;chr7:73477038:-	TRUE	BAZ1B
NFX1:SE17	2.83316874230056e-278	chr9:33365299:+	1084.73303591319	chr9:33371157:+	5.81480619647418	ALE	4.72548936476215e-275	chr9:33364708-33364774:+	chr9:33365299:+;chr9:33370176:+;chr9:33371157:+	TRUE	NFX1
ZNF540:SE02	3.78265600611823e-263	chr19:37600591:+	962.869690108957	chr19:37614095:+	10.2886056324508	ALE	5.82383538172741e-260	chr19:37598376-37598456:+	chr19:37600591:+;chr19:37613387:+;chr19:37614095:+	TRUE	ZNF540
TTLL5:SE10	5.49780291505343e-260	chr14:75765893:+	898.13747457915	chr14:75954829:+	14.493318847038	ALE	7.85989466748531e-257	chr14:75764615-75764772:+	chr14:75765893:+;chr14:75954829:+;chr14:75955079:+	TRUE	TTLL5
ZNF606:SE01	1.18616581368954e-255	chr19:57997391:-	882.706963223213	chr19:57977072:-	13.0305438788983	ALE	1.5827405840664e-252	chr19:57999808-57999896:-	chr19:57977072:-;chr19:57977367:-;chr19:57977486:-;chr19:57997391:-	TRUE	ZNF606
ANK2:SE09	1.38212969131172e-251	chr4:113239664:+	662.739427156136	chr4:113353763:+	56.8821587907358	ALE	1.72895786072525e-248	chr4:113236987-113237172:+	chr4:113239664:+;chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
GRIA2:SE06	3.38077156968661e-251	chr4:157360954:+	471.062869504001	chr4:157364287:+	119.951243367167	ALE	3.98036135101632e-248	chr4:157359896-157360143:+	chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
PCMTD1:SE04	7.1480287259762e-235	chr8:51842849:-	407.100375178613	chr8:51817583:-	158.935669298756	ALE	7.94821083057854e-232	chr8:51845661-51845763:-	chr8:51817583:-;chr8:51842849:-	TRUE	PCMTD1
EIF5B:SE03	1.95535443136216e-233	chr2:99361710:+	844.988954171563	chr2:99399780:+	3.99699082432895	ALE	2.05981152335335e-230	chr2:99361148-99361820:+	chr2:99361710:+;chr2:99363691:+;chr2:99364327:+;chr2:99376408:+;chr2:99389798:+;chr2:99394863:+;chr2:99399780:+;chr2:99400069:+	TRUE	EIF5B
TCOF1:SE12	1.01536902765137e-231	chr5:150398450:+	624.041281383402	chr5:150396840:+	57.8399208391844	ALE	1.01613055442211e-228	chr5:150396282-150396842:+	chr5:150396840:+;chr5:150398450:+	TRUE	TCOF1
POLR3C:SE07	3.50212458455408e-229	chr1:145842195:+	721.116009860038	chr1:145842493:+	16.5239467300519	ALE	3.33785826475476e-226	chr1:145840922-145841071:+	chr1:145842195:+;chr1:145842493:+;chr1:145843836:+;chr1:145844402:+	TRUE	POLR3C
HSPA14:SE03	9.60411790823561e-229	chr10:14871741:+	319.439514517258	chr10:14846999:+	157.257331550651	ALE	8.73756454242435e-226	chr10:14842134-14842846:+	chr10:14844748:+;chr10:14846999:+;chr10:14871741:+	TRUE	HSPA14
AP3S1:SE01	2.03615097448471e-214	chr5:115872301:+	829.973372820169	chr5:115914081:+	3.95310938481412	ALE	1.77189398931789e-211	chr5:115852979-115853014:+	chr5:115913987:+;chr5:115914081:+	TRUE	AP3S1
HPS1:SE13	2.48799011732282e-212	chr10:98433445:-	867.90041536864	chr10:98417015:-	2.44219726764208	ALE	2.07488009159234e-209	chr10:98435635-98435772:-	chr10:98416212:-;chr10:98417015:-;chr10:98433445:-	TRUE	HPS1
POFUT2:SE04	8.31365239592528e-210	chr21:45280288:-	872.543261088882	chr21:45263935:-	2.76619679290924	ALE	6.65591010817778e-207	chr21:45282349-45282459:-	chr21:45263935:-;chr21:45280288:-	TRUE	POFUT2
ADAMTS10:SE02	2.02266040327156e-193	chr19:8580240:-	548.14367126534	chr19:8593174:-	40.3375382265118	ALE	1.55705953736463e-190	chr19:8595762-8595903:-	chr19:8580240:-;chr19:8593174:-	TRUE	ADAMTS10
PPP1R12A:SE05	3.65560709492838e-165	chr12:79773826:-	846.017108004697	chr12:79797300:-	0.0168272836755213	ALE	2.70988800018487e-162	chr12:79808483-79808577:-	chr12:79773826:-;chr12:79797300:-	TRUE	PPP1R12A
SMARCA4:SE07	9.0334685793674e-164	chr19:11062273:+	745.369069055319	chr19:10996376:+	0.056697148410108	ALE	6.45731691485852e-161	chr19:10987666-10987924:+	chr19:10996376:+;chr19:11062273:+	TRUE	SMARCA4
YEATS2:SE12	2.39586576578092e-158	chr3:183759589:+	479.979635009506	chr3:183812618:+	24.5612266990068	ALE	1.65356045869328e-155	chr3:183758862-183758965:+	chr3:183759589:+;chr3:183812618:+	TRUE	YEATS2
C5orf51:SE02	1.69760943403493e-153	chr5:41914503:+	627.308012820513	chr5:41921636:+	2.1248189701122	ALE	1.13258842740697e-150	chr5:41912069-41912183:+	chr5:41914503:+;chr5:41917339:+;chr5:41921636:+	TRUE	C5orf51
