gene_id	lr	df	pvalue	adj_pvalue	CP209	CP334	CP336	GZ209	GZ334	GZ336	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
PTBP2:chr1:96813406:96823739:u1	364.120383749527	5	1.59412662632632e-76	1.00525625056138e-72	0.353386105715298	0.347557130668604	0.345846029141763	0.326235806810495	0.319613671999979	0.318950960240606	0.348929755175222	0.32160014635036	0.0273296088248618	chr1:96814793:+_vs_chr1:96814881:+	0.486491896565952	chr1:96814386:+;chr1:96814573:+;chr1:96814793:+;chr1:96814881:+;chr1:96815047:+;chr1:96815674:+	distal	TRUE
GPM6B:chrX:13770922:13774543:u1	265.102155704255	6	2.42151668875469e-54	7.63504211964353e-51	0.949927739492127	0.947595611521354	0.948476268405691	0.887837014964047	0.878597684963019	0.871299720903357	0.948666539806391	0.879244806943474	0.0694217328629162	chrX:13773456:-_vs_chrX:13770943:-	0.130766688434803	chrX:13770943:-;chrX:13771029:-;chrX:13771129:-;chrX:13771456:-;chrX:13771784:-;chrX:13772376:-;chrX:13773456:-	distal	FALSE
NUP93:chr16:56844610:56850286:u1	222.718081673927	7	1.74739702101842e-44	3.67302853818072e-41	0.0412349198632595	0.0383738522501817	0.0320727919613176	0.0191028311817926	0.0166457174727095	0.0134967539066103	0.0372271880249196	0.0164151008537041	0.0208120871712155	chr16:56844765:+_vs_chr16:56844954:+	0.458673943490263	chr16:56844765:+;chr16:56844954:+;chr16:56846261:+;chr16:56846560:+;chr16:56846748:+;chr16:56846818:+;chr16:56847560:+;chr16:56850286:+	distal	TRUE
ATP2A2:chr12:110346471:110351092:u1	175.216140231831	3	9.51663555213968e-38	1.50029759479482e-34	0.872963860135676	0.818205826236679	0.832766232268481	0.528423508357036	0.391809340085202	0.40575668506703	0.841311972880279	0.441996511169756	0.399315461710523	chr12:110347323:+_vs_chr12:110351093:+	0.770457634980332	chr12:110347323:+;chr12:110350810:+;chr12:110350975:+;chr12:110351093:+	distal	TRUE
MAPRE2:chr18:35140370:35143468:u1	144.779404439018	5	1.72344873726648e-29	2.17361354744048e-26	0.724936067183811	0.695602664337426	0.690525025336631	0.559560565220943	0.517734745366658	0.543788152053274	0.703687918952623	0.540361154213625	0.163326764738998	chr18:35141860:+_vs_chr18:35143099:+	0.365356690596128	chr18:35141615:+;chr18:35141794:+;chr18:35141860:+;chr18:35141963:+;chr18:35143099:+;chr18:35143470:+	distal	TRUE
ELAVL1:chr19:7958573:7963482:u1	135.597727200129	6	8.50260368478583e-27	8.93623647270991e-24	0.766337694815344	0.679022335177597	0.613531998494405	0.412910649024153	0.275032227785551	0.319999377325301	0.686297342829115	0.335980751378335	0.35031659145078	chr19:7962273:-_vs_chr19:7959187:-	0.888182715507787	chr19:7958573:-;chr19:7958794:-;chr19:7958941:-;chr19:7959107:-;chr19:7959187:-;chr19:7962273:-;chr19:7963228:-	distal	TRUE
HNRNPU:chr1:244850297:244854449:u1	130.101428027265	8	2.69535957879195e-24	2.42813392912315e-21	0.198828301376961	0.197511541264782	0.191300727584839	0.179452258550326	0.177117500990011	0.169515505589399	0.195880190075527	0.175361755043245	0.020518435032282	chr1:244854133:-_vs_chr1:244853388:-	0.211401094702403	chr1:244850297:-;chr1:244851169:-;chr1:244851229:-;chr1:244851398:-;chr1:244853388:-;chr1:244853523:-;chr1:244853658:-;chr1:244854133:-;chr1:244854411:-	distal	TRUE
ZDHHC3:chr3:44915261:44926688:u1	99.4932390193626	3	1.99735648636728e-21	1.57441625037901e-18	0.0857366639019377	0.0677079766168573	0.062206605751503	0.280099809833383	0.252682925332278	0.31985684550359	0.071883748756766	0.284213193556417	-0.212329444799651	chr3:44925173:-_vs_chr3:44915261:-	-0.406016383045206	chr3:44915261:-;chr3:44916372:-;chr3:44924029:-;chr3:44925173:-	proximal	TRUE
SRSF5:chr14:69771462:69772005:u1	102.943667010695	5	1.26583960104464e-20	8.86931613798611e-18	0.930661641136328	0.935213225074976	0.915946736403414	0.874862590259339	0.848930188179168	0.86046973353014	0.927273867538239	0.861420837322882	0.0658530302153568	chr14:69771668:+_vs_chr14:69772005:+	0.210759396549418	chr14:69771515:+;chr14:69771668:+;chr14:69771814:+;chr14:69771866:+;chr14:69771908:+;chr14:69772005:+	distal	TRUE
BZW1:chr2:200822179:200827336:u1	111.99143370628	8	1.48303070763812e-20	9.35199164236599e-18	0.690094162077625	0.69617756768199	0.690885409240491	0.721250536342573	0.71101537974335	0.714471924131006	0.692385713000035	0.71557928007231	-0.023193567072274	chr2:200823655:+_vs_chr2:200823837:+	-0.246055319109608	chr2:200822226:+;chr2:200822526:+;chr2:200822589:+;chr2:200822691:+;chr2:200823233:+;chr2:200823655:+;chr2:200823737:+;chr2:200823837:+;chr2:200824394:+	proximal	TRUE
LAMP2:chrX:120426148:120431322:u2	81.9309721951295	3	1.18246008619882e-17	6.77872118506342e-15	0.975449295631442	0.95021259554018	0.939098657519458	0.688303611392495	0.675065316475008	0.519119913593282	0.954920182897027	0.627496280486928	0.327423902410099	chrX:120430940:-_vs_chrX:120426148:-	0.547752489562519	chrX:120426148:-;chrX:120426222:-;chrX:120430940:-;chrX:120431142:-	distal	TRUE
CANX:chr5:179728645:179731638:u1	88.0521981410566	10	1.30219632908738e-14	6.8430417093542e-12	0.606115765349674	0.62336905718453	0.586196428910225	0.665631309949254	0.636668605117798	0.632411294945945	0.60522708381481	0.644903736670999	-0.0396766528561895	chr5:179730460:+_vs_chr5:179730920:+	-0.311086842020631	chr5:179728862:+;chr5:179728954:+;chr5:179729149:+;chr5:179729260:+;chr5:179729972:+;chr5:179730264:+;chr5:179730308:+;chr5:179730460:+;chr5:179730656:+;chr5:179730920:+;chr5:179731641:+	proximal	TRUE
CD47:chr3:108043094:108047287:u1	78.3972720788151	7	2.92219034878721e-14	1.41748710303478e-11	0.836855790530251	0.737089934817775	0.805539173198674	0.595957595831588	0.400112716802916	0.400905330072272	0.7931616328489	0.465658547568925	0.327503085279974	chr3:108047065:-_vs_chr3:108043299:-	0.706317963002455	chr3:108043097:-;chr3:108043299:-;chr3:108044161:-;chr3:108045238:-;chr3:108045903:-;chr3:108046129:-;chr3:108046184:-;chr3:108047065:-	distal	TRUE
BMERB1:chr16:15586830:15588259:u1	52.4946798496567	2	3.98956096534785e-12	1.79701224624883e-09	0.084524275778243	0.0941296895829366	0.0668826766453885	0.317771926937634	0.176681904493987	0.267490906276604	0.0818455473355227	0.253981579236075	-0.172136031900552	chr16:15587964:+_vs_chr16:15588259:+	-0.289444066322279	chr16:15587964:+;chr16:15588041:+;chr16:15588259:+	proximal	TRUE
SLC25A13:chr7:96120220:96121190:u1	44.9283597220056	1	2.04376384508422e-11	8.59198320473404e-09	0.788235294117647	0.760683760683761	0.813725490196078	0.448979591836735	0.525773195876289	0.48951048951049	0.787548181665829	0.488087759074504	0.299460422591324	chr7:96120417:-_vs_chr7:96120220:-	0.568083434340743	chr7:96120220:-;chr7:96120417:-	distal	TRUE
LRPPRC:chr2:43886224:43888599:u1	52.2694884814555	3	2.62404601406662e-11	1.03420213529401e-08	0.250987843309205	0.233551302000663	0.249804828397221	0.200310284341327	0.210784641760035	0.206756482482076	0.244781324569029	0.205950469527813	0.0388308550412167	chr2:43888500:-_vs_chr2:43887743:-	0.218398558056713	chr2:43886226:-;chr2:43887743:-;chr2:43888267:-;chr2:43888500:-	distal	TRUE
RAB14:chr9:121178133:121181395:u1	55.132351184322	4	3.04799432848249e-11	1.13062660208297e-08	0.539517496323719	0.539790157530636	0.535553133182777	0.526025435862882	0.520469713880498	0.52230041476042	0.538286929012378	0.5229318548346	0.0153550741777775	chr9:121179706:-_vs_chr9:121179290:-	0.089826838256856	chr9:121178137:-;chr9:121178220:-;chr9:121179290:-;chr9:121179706:-;chr9:121180648:-	distal	FALSE
XRCC5:chr2:216205203:216206293:u1	50.6178461641539	3	5.90072286323109e-11	2.06721990975196e-08	0.89560839961194	0.885696401628908	0.909118244412374	0.843938060980053	0.834801835597423	0.820726830590007	0.896807681884408	0.833155575722494	0.0636521061619133	chr2:216205424:+_vs_chr2:216206281:+	0.124539348282839	chr2:216205424:+;chr2:216206038:+;chr2:216206118:+;chr2:216206281:+	distal	FALSE
CRTC1:chr19:18777383:18782333:u1	46.5490162365768	2	7.79847268296578e-11	2.58827203888327e-08	0.364320209269569	0.43591949003154	0.297390725959711	0.144080197643482	0.131869088869454	0.143654065432857	0.365876808420273	0.139867783981931	0.226009024438342	chr19:18777948:+_vs_chr19:18782333:+	0.472931934029193	chr19:18777948:+;chr19:18779587:+;chr19:18782333:+	distal	TRUE
