gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
FBLN1	4.37296646888908e-17	chr22:45563362:+,chr22:45601135:+	197,16	0,10	0.925,0.075	0,1	0.075	1	-0.925	proximal	5.37437579026468e-14	TRUE
DBN1	2.01680723247524e-16	chr5:177456622:-,chr5:177456925:-,chr5:177457223:-	84,171,12	17,20,27	0.315,0.64,0.045	0.262,0.308,0.415	0.635	0.416	0.219	distal	1.23932804435604e-13	TRUE
GPM6B	1.23202813407247e-15	chrX:13770943:-,chrX:13771029:-,chrX:13771456:-,chrX:13773456:-,chrX:13774155:-,chrX:13780611:-	18,23,1,0,0,10	0,11,21,19,10,0	0.346,0.442,0.019,0,0,0.192	0,0.153,0.292,0.264,0.139,0	0.711	0.431	0.28	distal	5.04720858925021e-13	TRUE
SEPTIN2	7.60277596156514e-15	chr2:241336944:+,chr2:241348182:+,chr2:241351994:+,chr2:241353497:+,chr2:241353736:+,chr2:241354027:+	35,0,50,22,11,20	2,10,57,3,35,44	0.24,0,0.342,0.151,0.075,0.137	0.013,0.065,0.368,0.019,0.226,0.284	0.4244	0.6364	-0.212	proximal	2.33595291419089e-12	TRUE
PDHA1	4.16817773744724e-14	chrX:19359850:+,chrX:19360929:+	81,0	7,14	0.988,0	0.333,0.667	0	0.667	-0.667	proximal	1.02453808786453e-11	TRUE
HNRNPA1	1.02830868679025e-12	chr12:54284881:+,chr12:54285246:+,chr12:54287087:+	727,788,20	230,332,41	0.468,0.508,0.013	0.379,0.547,0.068	0.267	0.3415	-0.0745	proximal	2.1063189601087e-10	FALSE
TTC3	1.71916212448594e-12	chr21:37129034:+,chr21:37153066:+,chr21:37160839:+,chr21:37164198:+,chr21:37165784:+,chr21:37197695:+	44,25,38,13,12,32	8,0,1,0,19,2	0.207,0.117,0.178,0.061,0.056,0.15	0.148,0,0.019,0,0.352,0.037	0.326	0.3262	-0.000200000000000033	proximal	3.01835750141888e-10	FALSE
EIF1	2.99407444937944e-12	chr17:41690999:+,chr17:41691644:+,chr17:41692668:+	68,315,64	71,305,2	0.149,0.689,0.14	0.185,0.794,0.005	0.4845	0.402	0.0825	distal	4.29441875126131e-10	FALSE
PEA15	3.14481438253473e-12	chr1:160214639:+,chr1:160215372:+	28,45	8,180	0.384,0.616	0.04,0.905	0.616	0.905	-0.289	proximal	4.29441875126131e-10	TRUE
TUFM	4.84727228461694e-12	chr16:28842414:-,chr16:28842787:-	0,133	24,47	0,1	0.338,0.662	0	0.338	-0.338	proximal	5.95729763779422e-10	TRUE
