ID	bc01	bc02	bc05	bc06	iNGN_D12_rep1	iNGN_D12_rep2	iNGN_D12_rep3	PAS_ID	UTR_id	Feature	gene_name
chr10:15995:+	0	0	2	2	1	2	2	chr10:15995:+	.	intergenic	intergenic:chr10:15998
chr10:46892:-	11	19	3	4	3	2	2	chr10:46892:-	TUBB8:chr10:46888:47056:u1	3UTR	TUBB8
chr10:114810:-	0	0	0	0	0	3	1	chr10:114810:-	.	intergenic	intergenic:chr10:114815
chr10:127351:-	0	0	1	0	0	1	0	chr10:127351:-	.	intergenic	intergenic:chr10:127352
chr10:151512:+	1	2	1	0	1	1	1	chr10:151512:+	.	intron	ZMYND11
chr10:152452:+	0	2	0	0	0	0	0	chr10:152452:+	.	intron	ZMYND11
chr10:152831:+	0	1	0	0	0	0	1	chr10:152831:+	.	intron	ZMYND11
chr10:153338:+	1	2	1	1	4	6	1	chr10:153338:+	.	intron	ZMYND11
chr10:211380:+	0	1	0	1	0	0	0	chr10:211380:+	.	intron	ZMYND11
chr10:222124:+	0	0	0	0	1	0	1	chr10:222124:+	.	intron	ZMYND11
chr10:237497:+	5	5	13	14	9	18	15	chr10:237497:+	.	intron	ZMYND11
chr10:237604:+	0	0	0	0	1	0	1	chr10:237604:+	.	exon	ZMYND11
chr10:238086:+	2	1	0	2	0	0	1	chr10:238086:+	.	intron	ZMYND11
chr10:241168:+	1	1	0	0	0	0	0	chr10:241168:+	.	intron	ZMYND11
chr10:242611:+	0	0	2	1	0	1	0	chr10:242611:+	.	intron	ZMYND11
chr10:244860:-	1	0	2	0	0	0	1	chr10:244860:-	.	intergenic	intergenic:chr10:244864
chr10:248978:+	0	1	2	0	2	0	0	chr10:248978:+	.	exon	ZMYND11
chr10:249261:+	22	15	5	2	4	4	8	chr10:249261:+	ZMYND11:chr10:249110:249789:u1	3UTR	ZMYND11
chr10:249495:+	9	9	1	1	5	3	3	chr10:249495:+	ZMYND11:chr10:249110:249789:u1	3UTR	ZMYND11
chr10:249790:+	10	6	1	5	5	9	6	chr10:249790:+	ZMYND11:chr10:249110:249789:u1	3UTR	ZMYND11
chr10:252708:+	4	2	1	2	2	0	0	chr10:252708:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:252888:+	3	2	3	0	2	2	2	chr10:252888:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:253261:+	2	2	3	2	2	5	1	chr10:253261:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:253391:+	1	2	0	1	0	0	1	chr10:253391:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:253535:+	27	23	5	1	9	6	7	chr10:253535:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:254388:+	0	1	0	0	0	2	0	chr10:254388:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:254466:+	0	0	0	1	1	0	0	chr10:254466:+	ZMYND11:chr10:252471:254471:u2	3UTR	ZMYND11
chr10:254621:+	0	0	0	0	1	2	0	chr10:254621:+	.	intergenic	intergenic:chr10:254621
chr10:255674:+	0	0	0	0	0	1	1	chr10:255674:+	.	intergenic	intergenic:chr10:255678
chr10:263995:-	0	0	0	0	2	0	0	chr10:263995:-	.	intergenic	intergenic:chr10:263995
chr10:274463:-	0	0	2	1	6	8	3	chr10:274463:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:276432:-	0	0	1	1	2	2	0	chr10:276432:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:276518:-	0	0	0	0	1	2	2	chr10:276518:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:276607:-	0	0	1	1	1	1	0	chr10:276607:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:276638:-	0	0	0	1	0	1	0	chr10:276638:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:276958:-	7	11	12	13	2	3	8	chr10:276958:-	DIP2C:chr10:274201:277324:u1	3UTR	DIP2C
chr10:279302:-	0	0	3	2	0	1	1	chr10:279302:-	.	intron	DIP2C
chr10:318905:-	0	0	1	1	1	2	0	chr10:318905:-	.	intron	DIP2C
chr10:335025:-	1	0	0	0	0	0	0	chr10:335025:-	.	intron	DIP2C
chr10:355543:-	1	0	6	3	2	1	0	chr10:355543:-	.	intron	DIP2C
chr10:355591:-	1	0	1	0	0	0	0	chr10:355591:-	.	intron	DIP2C
chr10:379683:-	0	0	0	0	0	1	0	chr10:379683:-	.	intron	DIP2C
chr10:381040:-	0	0	1	1	0	0	1	chr10:381040:-	.	intron	DIP2C
chr10:382438:-	0	0	0	1	0	1	0	chr10:382438:-	.	intron	DIP2C
chr10:407951:-	0	0	0	0	0	1	0	chr10:407951:-	.	intron	DIP2C
chr10:408053:-	0	2	0	1	0	0	1	chr10:408053:-	.	intron	DIP2C
chr10:410553:-	1	0	1	1	0	0	0	chr10:410553:-	.	intron	DIP2C
chr10:413572:-	0	1	4	6	0	0	2	chr10:413572:-	.	intron	DIP2C
chr10:419747:-	1	0	0	0	0	0	1	chr10:419747:-	.	intron	DIP2C
chr10:421064:-	2	0	0	0	1	0	0	chr10:421064:-	.	intron	DIP2C
chr10:432570:-	0	0	0	1	0	0	1	chr10:432570:-	.	intron	DIP2C
chr10:434952:-	0	0	0	0	0	2	0	chr10:434952:-	.	intron	DIP2C
chr10:473156:-	0	0	1	1	0	0	0	chr10:473156:-	.	intron	DIP2C
